Id,Player @,Content,Date
1,@patbev21,"HERMOSA NENE, HERMOSA.

EN PRIMERA FILA LA VISTE, BURRO, MUERTO, CARTONAZO @patbev21",29-Mar-23
2,@patbev21,Patrick Beverly with ZERO points and a team worst -32 @patbev21,29-Mar-23
3,@patbev21,Hi @patbev21,29-Mar-23
4,@patbev21,Coglione @patbev21,29-Mar-23
5,@patbev21,Take that L @patbev21 ya bum!,29-Mar-23
6,@patbev21,Toooo Small @patbev21 put that on the Pod,29-Mar-23
7,@patbev21,@patbev21,29-Mar-23
8,@patbev21,Rest in piss @patbev21,29-Mar-23
9,@patbev21,Austin reaves literally just bitched @patbev21 and then pat got subbed out lol  #Lakers #LakersWin #LakersNation #patrickbeverly,29-Mar-23
10,@patbev21,"Damn, gang @patbev21 #Lakers",29-Mar-23
11,@patbev21,"0 PTS
0/5 FG
0/5 3PT
2 REB
-31
25 MIN
L

@patbev21 DANGEROUS TONIGHT",29-Mar-23
12,@patbev21,AUSTIN REAVES  HOW YOU LILE THAT you are cooked! @patbev21,29-Mar-23
13,@patbev21,Good Night @patbev21,29-Mar-23
14,@patbev21,L + CRACK + ratio. @patbev21,29-Mar-23
15,@patbev21,U ARE TOO SMAAAALL @patbev21,29-Mar-23
16,@patbev21,Make sure you talk about this on your pod @patbev21,29-Mar-23
17,@patbev21,"Lmao. I loved Austin Reaves since day one, he’s now my favorite NBA player ! Lmao #toosmall @patbev21",29-Mar-23
18,@patbev21,"TToo Smallllllllll

@patbev21",29-Mar-23
19,@patbev21,COMEME LAS PELOTAS @patbev21,29-Mar-23
20,@PatBevPod,ITS QUIET TONIGHT @patbev21 @PatBevPod,29-Mar-23
21,@patbev21,@patbev21 pathetic ass career go back to the podcast fucking loser out there doing cardio,29-Mar-23
22,@patbev21,Holi @patbev21 mmg,29-Mar-23
23,@patbev21,@patbev21,29-Mar-23
24,@patbev21,too small @patbev21,29-Mar-23
25,@patbev21,TAKE THAT YOU RAT!! @patbev21,29-Mar-23
26,@patbev21,#LAKERGANG and @patbev21 is a bum and a clown,29-Mar-23
27,@patbev21,TOO SMALL @patbev21,29-Mar-23
28,@patbev21,Austin Reaves payback!!  @patbev21 #lakeshow,29-Mar-23
29,@patbev21,صغييير لا اراك @patbev21,29-Mar-23
30,@patbev21,WOKE UP FEELIN DANGEROUS HUH ???? LITTLE ASS BOY SIT DOWN BUM @patbev21,29-Mar-23
31,@patbev21,Payback is a muhfucka @patbev21,29-Mar-23
32,@patbev21,YEA FUC U @patbev21 STINKY MFERRRRRR,29-Mar-23
33,@patbev21,"baby ass little boy @patbev21 

reaves slid for bron",29-Mar-23
34,@patbev21,TOO SMALL @patbev21,29-Mar-23
35,@patbev21,Nice payback Reaves. Yo too small @patbev21 lmao,29-Mar-23
36,@patbev21,Chupa seu bosta @patbev21,29-Mar-23
37,@patbev21,DRIVE HOME SAFELY @patbev21,29-Mar-23
38,@patbev21,Austin Reaves said you puny @patbev21,29-Mar-23
39,@patbev21,@patbev21,29-Mar-23
40,@patbev21,0 total points @patbev21,29-Mar-23
41,@patbev21,Bum ass @patbev21,29-Mar-23
42,@patbev21,That @patbev21 pack is musty,29-Mar-23
43,@patbev21,TOO FUCKING SMALL @patbev21,29-Mar-23
44,@patbev21,"Rock the baby @patbev21 to sleep, he's a bum",29-Mar-23
45,@patbev21,YEA NIGGA @patbev21,29-Mar-23
46,@patbev21,Yo @patbev21,29-Mar-23
47,@patbev21,Bark now @patbev21,29-Mar-23
48,@patbev21,Too small @patbev21,29-Mar-23
49,@patbev21,Hahahahahaha AUSTIN REAVES YOU A MFin G    take that too small with you @patbev21 #lakeshow #lakers #AR15,29-Mar-23
50,@patbev21,HAHAHAHAHA KULIT KA PA @patbev21 ?????,29-Mar-23
51,@patbev21,"Also, fuck you @patbev21",29-Mar-23
52,@PATBEV21,REAVES IS YOUR DAD NOW PUSSYBOY @PATBEV21,29-Mar-23
53,@patbev21,Dork you too small @patbev21,29-Mar-23
54,@patbev21,HAHHAAH @patbev21,29-Mar-23
55,@patbev21,KARMAS A BITCH HUH @patbev21,29-Mar-23
56,@patbev21,HE A BABYYYYYY @patbev21,29-Mar-23
57,@patbev21,goodnight @patbev21,29-Mar-23
58,@patbev21,Your team needed a spoon and you played like a fork today @patbev21,29-Mar-23
59,@patbev21,Hahahahahaha AUSTIN REAVES YOU A MFin G    take that too small with you @patbev21,29-Mar-23
60,@patbev21,Too small @patbev21,29-Mar-23
61,@patbev21,TOO LITTLE @patbev21,29-Mar-23
62,@patbev21,TOO SMALL DORK @patbev21,29-Mar-23
63,@patbev21,"right back at you bum, @patbev21",29-Mar-23
64,@patbev21,TOO SMALL @patbev21,29-Mar-23
65,@patbev21,"AUSTIN REAVES EU AMO TE PUTA QUE PARIU
TOO SMALL @patbev21 corno",29-Mar-23
66,@patbev21,Austin with è #TooSmall on @patbev21  wrapped it up for you  #dk1Luv,29-Mar-23
67,@patbev21,"Reaves just hit the ""too small"" celeb back at @patbev21",29-Mar-23
68,@patbev21,"You couldn’t hit fuckin water if you fell out of a boat you dumb fuck @patbev21 
0-5 you dumb as fuck",29-Mar-23
69,@patbev21,"REEVES SAID TOO SMALL @patbev21 

#LakeShow",29-Mar-23
70,@patbev21,HE TOOOOO SMALLLLLLLLL #LAKERS @patbev21,29-Mar-23
71,@patbev21,TOO SMALL NIGGA @patbev21,29-Mar-23
72,@patbev21,TOO SMALL @patbev21,29-Mar-23
73,@patbev21,Faz graça hoje @patbev21,29-Mar-23
74,@patbev21,AR15 said you too littleeeeee @patbev21,29-Mar-23
75,@patbev21,"TOO SMALL, @patbev21!!!! #AUSTINREAVES #lakeshow",29-Mar-23
76,@patbev21,Toooo smaaaaaall @patbev21,29-Mar-23
77,@patbev21,". @patbev21 don’t ever put your hands like that on the king himself, next time I see you it’s up",29-Mar-23
78,@patbev21,Wya? @patbev21,29-Mar-23
79,@patbev21,Trash ass @patbev21,29-Mar-23
80,@patbev21,Wya? @patbev21,29-Mar-23
81,@patbev21,Trash ass @patbev21,29-Mar-23
82,@patbev21,What happened @patbev21,29-Mar-23
83,@patbev21,Sup @patbev21,29-Mar-23
84,@patbev21,This You? Trash Ass Nigga #Lakeshow  @patbev21,29-Mar-23
85,@patbev21,"YOU ARE NOT GOOD @patbev21 , THIS IS WHY THE LAKERS TRADED YALL TO ORLANDO YOU BOZO",29-Mar-23
86,@patbev21,Where's @patbev21 at? Can't see him,29-Mar-23
87,@patbev21,Mfs @patbev21  doing cardio in an actual game,29-Mar-23
88,@patbev21,You bum fuck @patbev21,29-Mar-23
89,@patbev21,Make sure to keep that same energy @patbev21,29-Mar-23
90,@KingJames,Can’t find @patbev21 in the court maybe too short to guard @KingJames #lakers #nba,29-Mar-23
91,@patbev21,Stinky performance bum @patbev21,29-Mar-23
92,@patbev21,F*** Y** @patbev21,29-Mar-23
93,@chicagobulls,"Mane the @Lakers spanking ass 
“Come here lil baby” on them @chicagobulls @patbev21 run ya mouth now",29-Mar-23
94,@patbev21,Good job @patbev21,29-Mar-23
95,@patbev21,Man  @patbev21  #Lakers,29-Mar-23
96,@patbev21,Put in @patbev21,29-Mar-23
97,@patbev21,Heey @patbev21  where are u man???,29-Mar-23
98,@patbev21,"We beatin tf outta y’all, gang. @patbev21 #Lakers",29-Mar-23
99,@patbev21,"What a game from @patbev21  - 2 Reb, 1 Ast, 0 points, 2 finger wags in Lebrons face and the L",29-Mar-23
100,@patbev21,Scoreboard @patbev21,29-Mar-23
101,@patbev21,.@patbev21 I thought he was “too small” big bro?,29-Mar-23
102,@patbev21,GetBackGang  @patbev21,29-Mar-23
103,@patbev21,Rica cola @patbev21,29-Mar-23
104,@patbev21,Get y’all happy ass’s pushin! @chicagobulls @patbev21,29-Mar-23
105,@patbev21,Come to da podium @patbev21,29-Mar-23
106,@patbev21,Ayo @patbev21 suck a dick bitch,29-Mar-23
107,@patbev21,Nahhh @KingJames lmaooooo nigga pat bev got 0 @patbev21 bron so happy he got rid of you,29-Mar-23
108,@patbev21,"0,2,1 and you’re 0/5 lmao. YOU ARE ASS @patbev21",29-Mar-23
109,@PatBevPod,"0/5 from 2, 0/5 from 3 in 22mins you a bum @patbev21 @PatBevPod and you a -32 on defensive end! Fuck is you doin my boy",29-Mar-23
110,@patbev21,I havent seen Pat Bev do ANYTHING tonight… smh man what happened @patbev21,29-Mar-23
111,@patbev21,Dang the announcers called  @patbev21 out for not being able to look Bron in the eye when he talked to him   yooo the announcers want all the smoke tonight,29-Mar-23
112,@chicagobulls,"http://F.ck around and find out @patbev21 and @chicagobulls #lakers

@KingJames is unstoppable",29-Mar-23
113,@patbev21,Smoking that pack clown @patbev21,29-Mar-23
